1.0, prec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.11111111, prec, F1 
0.125, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.2, prec, F1 
0.2857143, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.16666667, prec, F1 
0.14285715, rec, F1 
0.125, prec, F1 
0.14285715, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.125, prec, F1 
0.11111111, rec, F1 
0.2, prec, F1 
0.2857143, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.125, prec, F1 
0.14285715, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.125, prec, F1 
0.14285715, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
0.8888889, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.22222222, prec, F1 
0.2, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.5, prec, F1 
0.45454547, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.5, prec, F1 
0.45454547, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.5555556, prec, F1 
0.5, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.5, prec, F1 
0.5714286, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.33333334, prec, F1 
0.42857143, rec, F1 
0.25, prec, F1 
0.2857143, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.625, prec, F1 
0.625, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.14285715, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.9230769, prec, F1 
0.9230769, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.09090909, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.1, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.8888889, prec, F1 
0.8, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.18181819, prec, F1 
0.15384616, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.6363636, prec, F1 
0.6363636, rec, F1 
0.11111111, prec, F1 
0.11111111, rec, F1 
0.64285713, prec, F1 
0.75, rec, F1 
0.33333334, prec, F1 
0.27272728, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.25, prec, F1 
0.16666667, rec, F1 
0.14285715, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.1, prec, F1 
0.125, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.7777778, prec, F1 
0.7777778, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.09090909, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.11111111, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.2, prec, F1 
0.22222222, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.375, prec, F1 
0.375, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.25, prec, F1 
0.18181819, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.09090909, prec, F1 
0.07692308, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.125, prec, F1 
0.125, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.875, prec, F1 
0.53846157, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.14285715, prec, F1 
0.14285715, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.625, prec, F1 
0.5, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.11111111, prec, F1 
0.14285715, rec, F1 
0.6923077, prec, F1 
0.75, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.125, prec, F1 
0.09090909, rec, F1 
0.42857143, prec, F1 
0.23076923, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.8181818, prec, F1 
0.8181818, rec, F1 
0.72727275, prec, F1 
0.6666667, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.8333333, prec, F1 
0.90909094, rec, F1 
0.2, prec, F1 
0.2, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.2, prec, F1 
0.25, rec, F1 
0.125, prec, F1 
0.11111111, rec, F1 
0.1, prec, F1 
0.1, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.125, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.42857143, prec, F1 
0.375, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.7777778, prec, F1 
0.7, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.22222222, prec, F1 
0.22222222, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.11111111, prec, F1 
0.11111111, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.16666667, prec, F1 
0.14285715, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.78571427, prec, F1 
0.84615386, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.27272728, prec, F1 
0.33333334, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.16666667, prec, F1 
0.25, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.6363636, prec, F1 
0.5833333, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.5, prec, F1 
0.44444445, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.71428573, prec, F1 
0.71428573, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.72727275, prec, F1 
0.61538464, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.22222222, prec, F1 
0.22222222, rec, F1 
0.14285715, prec, F1 
0.14285715, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.4, prec, F1 
0.5714286, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.2857143, prec, F1 
0.18181819, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.375, prec, F1 
0.42857143, rec, F1 
0.11111111, prec, F1 
0.14285715, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.25, prec, F1 
0.2857143, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.33333334, prec, F1 
0.2857143, rec, F1 
0.33333334, prec, F1 
0.27272728, rec, F1 
0.72727275, prec, F1 
0.61538464, rec, F1 
0.54545456, prec, F1 
0.54545456, rec, F1 
0.2, prec, F1 
0.2, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.11111111, prec, F1 
0.11111111, rec, F1 
0.8181818, prec, F1 
0.8181818, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.9166667, prec, F1 
0.9166667, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.09090909, prec, F1 
0.07692308, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
